madvhc,ten,cap,captren
664,Huyện Krông Nô,HUYEN,67
665,Huyện Đắk Song,HUYEN,67
666,Huyện Đắk R'Lấp,HUYEN,67
667,Huyện Tuy Đức,HUYEN,67
672,Thành phố Đà Lạt,HUYEN,68
673,Thành phố Bảo Lộc,HUYEN,68
674,Huyện Đam Rông,HUYEN,68
675,Huyện Lạc Dương,HUYEN,68
676,Huyện Lâm Hà,HUYEN,68
677,Huyện Đơn Dương,HUYEN,68
678,Huyện Đức Trọng,HUYEN,68
679,Huyện Di Linh,HUYEN,68
680,Huyện Bảo Lâm,HUYEN,68
681,Huyện Đạ Huoai,HUYEN,68
682,Huyện Đạ Tẻh,HUYEN,68
683,Huyện Cát Tiên,HUYEN,68
688,Thị xã Phước Long,HUYEN,70
689,Thị xã Đồng Xoài,HUYEN,70
690,Thị xã Bình Long,HUYEN,70
691,Huyện Bù Gia Mập,HUYEN,70
692,Huyện Lộc Ninh,HUYEN,70
693,Huyện Bù Đốp,HUYEN,70
694,Huyện Hớn Quản,HUYEN,70
695,Huyện Đồng Phú,HUYEN,70
696,Huyện Bù Đăng,HUYEN,70
697,Huyện Chơn Thành,HUYEN,70
698,Huyện Phú Riềng,HUYEN,70
703,Thành phố Tây Ninh,HUYEN,72
705,Huyện Tân Biên,HUYEN,72
706,Huyện Tân Châu,HUYEN,72
707,Huyện Dương Minh Châu,HUYEN,72
708,Huyện Châu Thành,HUYEN,72
709,Huyện Hòa Thành,HUYEN,72
710,Huyện Gò Dầu,HUYEN,72
711,Huyện Bến Cầu,HUYEN,72
712,Huyện Trảng Bàng,HUYEN,72
718,Thành phố Thủ Dầu Một,HUYEN,74
719,Huyện Bàu Bàng,HUYEN,74
720,Huyện Dầu Tiếng,HUYEN,74
721,Thị xã Bến Cát,HUYEN,74
722,Huyện Phú Giáo,HUYEN,74
723,Thị xã Tân Uyên,HUYEN,74
724,Thị xã Dĩ An,HUYEN,74
725,Thị xã Thuận An,HUYEN,74
